Gender,score
male,0.84453
male,0.84453
male,0.84453
male,0.84453
male,0.84453
male,0.84448
male,0.84448
male,0.84448
male,0.84443
male,0.84438
male,0.84438
female,0.84438
male,0.84434
male,0.84429
male,0.84429
male,0.84429
male,0.84415
male,0.84415
male,0.844
male,0.844
female,0.84395
male,0.84395
male,0.84391
male,0.84386
male,0.84386
male,0.84386
male,0.84386
female,0.84381
male,0.84381
male,0.84376
male,0.84376
male,0.84376
male,0.84372
male,0.84372
male,0.84372
female,0.84372
male,0.84357
male,0.84352
male,0.84352
female,0.84352
male,0.84343
female,0.84333
male,0.84333
male,0.84329
male,0.84324
male,0.84324
male,0.84309
male,0.84305
male,0.843
male,0.843
male,0.843
male,0.843
male,0.84295
male,0.84281
male,0.84281
male,0.84281
male,0.84276
male,0.84271
male,0.84266
male,0.84266
male,0.84262
male,0.84262
male,0.84257
male,0.84257
male,0.84252
male,0.84252
male,0.84247
male,0.84242
male,0.84242
male,0.84242
male,0.84242
male,0.84238
male,0.84233
male,0.84233
male,0.84233
male,0.84228
male,0.84228
male,0.84223
male,0.84223
male,0.84219
male,0.84219
male,0.84219
male,0.84214
male,0.84214
male,0.84209
male,0.84195
male,0.84195
male,0.84195
male,0.84195
male,0.84185
male,0.84185
male,0.84185
male,0.84185
male,0.8418
male,0.8418
male,0.8418
male,0.84176
female,0.84176
male,0.84176
male,0.84176
male,0.84171
male,0.84171
male,0.84171
male,0.84161
male,0.84161
male,0.84161
male,0.84161
female,0.84161
male,0.84161
male,0.84156
male,0.84156
male,0.84156
male,0.84156
female,0.84156
male,0.84152
male,0.84152
male,0.84152
male,0.84152
male,0.84152
male,0.84152
male,0.84147
male,0.84147
male,0.84142
male,0.84137
female,0.84137
male,0.84133
male,0.84133
female,0.84133
male,0.84128
male,0.84128
male,0.84128
male,0.84123
female,0.84118
male,0.84118
male,0.84118
male,0.84113
male,0.84109
male,0.84109
female,0.84104
male,0.84099
male,0.84099
male,0.84094
male,0.84089
male,0.84089
male,0.8408
male,0.8408
male,0.8408
male,0.8408
male,0.8408
male,0.84075
female,0.8407
male,0.84061
male,0.84061
male,0.84056
male,0.84046
male,0.84046
male,0.84037
male,0.84023
male,0.84023
male,0.84018
male,0.84018
male,0.84008
male,0.84003
male,0.84003
female,0.83999
male,0.83999
male,0.83994
male,0.83989
female,0.83984
male,0.83984
male,0.8398
male,0.83975
male,0.8397
male,0.8397
male,0.83965
male,0.83965
male,0.83965
male,0.83965
male,0.8396
male,0.8396
male,0.83956
male,0.83951
male,0.83946
male,0.83941
male,0.83941
female,0.83941
female,0.83941
male,0.83932
male,0.83927
male,0.83927
male,0.83927
male,0.83922
male,0.83913
male,0.83908
male,0.83908
male,0.83908
male,0.83903
male,0.83903
female,0.83898
male,0.83898
male,0.83893
male,0.83893
male,0.83889
male,0.83884
male,0.83884
female,0.8387
female,0.83865
male,0.83865
male,0.8386
male,0.83855
male,0.83855
male,0.8385
male,0.8385
female,0.83841
male,0.83841
male,0.83841
male,0.83831
male,0.83831
male,0.83827
male,0.83827
female,0.83822
male,0.83822
male,0.83822
male,0.83817
female,0.83817
male,0.83812
male,0.83812
male,0.83812
male,0.83812
male,0.83812
male,0.83812
female,0.83807
female,0.83803
male,0.83798
female,0.83798
male,0.83798
male,0.83793
male,0.83788
male,0.83788
male,0.83788
male,0.83784
male,0.83784
male,0.83779
male,0.83779
male,0.83774
female,0.83774
male,0.83774
male,0.83774
male,0.83769
male,0.83769
male,0.83769
male,0.83769
male,0.83764
male,0.83764
male,0.83764
male,0.8376
male,0.83755
male,0.8375
male,0.8375
female,0.83745
male,0.83745
female,0.8374
female,0.8374
male,0.83736
female,0.83731
male,0.83726
female,0.83717
male,0.83717
male,0.83717
male,0.83707
male,0.83702
female,0.83702
male,0.83697
male,0.83697
male,0.83697
male,0.83688
male,0.83688
male,0.83688
male,0.83688
male,0.83683
male,0.83683
male,0.83683
female,0.83683
female,0.83678
male,0.83678
female,0.83674
male,0.83674
male,0.83674
male,0.83669
male,0.83664
female,0.83664
male,0.83664
male,0.83659
male,0.83654
male,0.83654
male,0.83654
male,0.83645
male,0.83645
male,0.83645
male,0.8364
female,0.83635
male,0.83635
male,0.83631
male,0.83626
male,0.83626
male,0.83626
male,0.83626
male,0.83616
male,0.83611
male,0.83607
male,0.83602
male,0.83602
male,0.83597
male,0.83597
female,0.83592
female,0.83592
male,0.83592
male,0.83588
female,0.83588
male,0.83588
male,0.83583
female,0.83583
male,0.83578
male,0.83573
male,0.83568
male,0.83564
male,0.83564
male,0.83559
male,0.83559
male,0.83559
male,0.83554
male,0.83549
female,0.83549
male,0.83549
male,0.83549
male,0.83544
male,0.8354
male,0.8354
male,0.8354
male,0.8354
male,0.83535
male,0.83535
male,0.83535
male,0.8353
male,0.8353
male,0.8353
male,0.8353
male,0.83525
male,0.83525
male,0.83525
male,0.83521
male,0.83516
male,0.83516
male,0.83516
male,0.83516
female,0.83506
male,0.83506
male,0.83501
male,0.83501
male,0.83497
female,0.83497
male,0.83497
male,0.83487
male,0.83487
female,0.83487
male,0.83487
male,0.83487
male,0.83482
male,0.83482
male,0.83478
male,0.83478
male,0.83478
male,0.83468
male,0.83468
male,0.83463
male,0.83463
female,0.83463
male,0.83454
male,0.83454
male,0.83444
male,0.83444
male,0.83444
male,0.83444
male,0.83444
male,0.83439
male,0.83435
male,0.83435
male,0.83435
male,0.83435
male,0.8343
male,0.83425
male,0.8342
male,0.83411
male,0.83406
male,0.83406
female,0.83406
male,0.83401
female,0.83401
male,0.83396
male,0.83396
male,0.83391
male,0.83391
female,0.83391
male,0.83382
male,0.83377
male,0.83377
male,0.83372
male,0.83372
male,0.83372
male,0.83368
female,0.83368
male,0.83363
female,0.83358
male,0.83358
female,0.83358
male,0.83358
male,0.83348
male,0.83348
male,0.83344
male,0.83339
male,0.83339
male,0.83339
male,0.83339
male,0.83339
male,0.83334
male,0.83334
male,0.83325
male,0.8332
male,0.83315
male,0.83315
male,0.83315
male,0.8331
male,0.8331
male,0.83305
male,0.83305
male,0.83305
male,0.83301
male,0.83301
male,0.83296
male,0.83296
male,0.83291
male,0.83291
male,0.83291
male,0.83286
male,0.83282
male,0.83282
male,0.83282
male,0.83282
male,0.83282
male,0.83282
male,0.83282
male,0.83282
female,0.83277
male,0.83267
male,0.83262
male,0.83258
male,0.83253
male,0.83253
male,0.83248
male,0.83248
male,0.83248
male,0.83243
male,0.83239
female,0.83239
male,0.83234
male,0.83229
male,0.83224
male,0.83224
male,0.83224
male,0.83219
male,0.83219
male,0.83219
female,0.83215
male,0.83215
female,0.83215
male,0.8321
female,0.83205
male,0.83205
male,0.832
male,0.832
male,0.83195
male,0.83195
male,0.83195
male,0.83195
male,0.83191
male,0.83186
male,0.83186
male,0.83186
male,0.83181
female,0.83181
male,0.83181
male,0.83181
male,0.83176
female,0.83172
male,0.83172
male,0.83167
male,0.83167
male,0.83167
male,0.83162
male,0.83157
female,0.83157
male,0.83157
